店舗名,郵便番号,住所,電話番号,FAX番号,ホームページURL,メールアドレス,座席数,個室情報
"全席個室ダイニング Clover ～クローバー～ 梅田店","530-0018","大阪府大阪市北区小松原町5-8 トリオビル","050-5785-1344","","","","150席 座敷席あり 掘りごたつ席あり 座椅子あり カウンター席あり カップルシートあり ソファー席あり 夜景が見える","テーブル個室あり（2名～8名様用） テーブル個室あり（2名～8名様用） テーブル個室あり（8名～16名様用） テーブル個室あり（16名～30名様用） テーブル個室あり（30名～150名様用） ※個室の詳細はお店にお問い合わせください"
"全席個室隠れ家居酒屋 陣八‐JINPACHI‐ 梅田店","530-0001","大阪府大阪市北区梅田2-1-21 レイズ梅田ビル3F","050-5789-4653","","","","165席 座敷席あり 掘りごたつ席あり カップルシートあり","テーブル個室あり（16名～40名様用/扉・壁あり） テーブル個室あり（12名～20名様用/扉・壁あり） 掘りごたつ個室あり（8名～12名様用/扉・壁あり） テーブル個室あり（2名～4名様用/パーティション仕切り） テーブル個室あり（4名～6名様用/カーテン仕切り） ※個室の詳細はお店にお問い合わせください"
"全席個室情緒居酒屋 花蓮‐KAREN‐ 梅田店","530-0001","大阪府大阪市北区梅田2-1-21 レイズ梅田ビル3F","050-5789-4654","","","","165席 座敷席あり 掘りごたつ席あり 座椅子あり カウンター席あり カップルシートあり ソファー席あり","掘りごたつ個室あり（2名～8名様用/扉・壁あり） テーブル個室あり（2名～8名様用/扉・壁あり） 座敷個室あり（4名～16名様用/扉・壁あり） 掘りごたつ個室あり（8名～20名様用/扉・壁あり） 座敷個室あり（10名～50名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"相撲料理 志可゛ 堂島店","530-0003","大阪府大阪市北区堂島1-5-17 堂島グランドビルB1","050-5797-8212","06-6202-7376","http://e-shiga.co.jp/","","120席 座敷席あり 掘りごたつ席あり","掘りごたつ個室あり（10名～60名様用） テーブル個室あり（10名～40名様用） ※個室の詳細はお店にお問い合わせください"
"北新地 鳥屋 堂島店","530-0003","大阪府大阪市北区堂島1-2-12 北新地角庄ビル1・2F","050-5522-5905","","http://kitashinchitoriya.com","","52席 座敷席あり","座敷個室あり（1室/30名様用） ※個室の詳細はお店にお問い合わせください"
"すきやき・しゃぶしゃぶ 壱","530-0003","大阪府大阪市北区堂島1-2-16 K&#039;sビルB1","06-6344-2929","","","","40席","テーブル個室あり（8名～12名様用） テーブル個室あり（2名～6名様用） テーブル半個室あり（6名～10名様用） テーブル半個室あり（2名～4名様用） ※個室の詳細はお店にお問い合わせください"
"しゃぶしゃぶ・焼肉 あじびる花心 本店","530-0027","大阪府大阪市北区堂山町10-2","06-6313-2771","","http://www.ajibil.com/","","329席 座敷席あり 掘りごたつ席あり","掘りごたつ個室あり（5名～8名様用） 掘りごたつ個室あり（9名～16名様用） 掘りごたつ個室あり（17名～30名様用） 掘りごたつ個室あり（31名～50名様用） 掘りごたつ個室あり（51名～100名様用） ※個室の詳細はお店にお問い合わせください"
"しゃぶしゃぶ・日本料理 桂 大阪マルビル店","530-0001","大阪府大阪市北区梅田1-9-20 大阪マルビル2F","050-5798-4333","","http://www.dynac-japan.com/","","130席 座敷席あり 掘りごたつ席あり","掘りごたつ個室あり（5室/2名～4名様用） 掘りごたつ個室あり（1室/6名～8名様用） 掘りごたつ個室あり（3室/9名～14名様用） 掘りごたつ個室あり（1室/15名～24名様用） 座敷個室あり（1室/25名～44名様用） ※個室の詳細はお店にお問い合わせください"
"しゃぶしゃぶ ダイニング 壱","530-0003","大阪府大阪市北区堂島1-3-40 スタック堂島ビルB1","050-5796-8243","","","","30席 掘りごたつ席あり カウンター席あり","テーブル個室あり（2名～4名様用） ※個室の詳細はお店にお問い合わせください"
"しゃぶしゃぶ 温野菜 お初天神店","530-0057","大阪府大阪市北区曽根崎2-10-15 曽根崎センタービル2F","050-5797-2151","","","","70席",""
"北新地 七宝","530-0003","大阪府大阪市北区堂島1-2-15 浜村サンプラザビル4F","050-5799-6207","","","","35席 掘りごたつ席あり カウンター席あり","掘りごたつ個室あり（4室/2名～6名様用/扉・壁あり） 掘りごたつ個室あり（1室/2名様用/扉・壁あり） テーブル個室あり（2室/2名～4名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"泳ぎイカ 九州 うまか 梅田店","530-0017","大阪府大阪市北区角田町1-1 東阪急ビルB1","050-5798-1309","","","","160席 座敷席あり 掘りごたつ席あり 座椅子あり カップルシートあり ソファー席あり","掘りごたつ個室あり（2名～40名様用） テーブル個室あり（2名～50名様用） ※個室の詳細はお店にお問い合わせください"
"隠れ家個室&times;鍋バル 碧の竜宮 梅田駅前店","530-0001","大阪府大阪市北区梅田2-1-21 レイズウメダビル1F-B","050-5787-0203","","","","60席 ソファー席あり",""
"すきやきダイニング＆バル Ｈｉｒｏ 福島店","553-0003","大阪府大阪市福島区福島1-6-1","050-5796-3360","","","","35席 掘りごたつ席あり カウンター席あり","掘りごたつ個室あり（15名～22名様用） 掘りごたつ個室あり（2名～6名様用） 掘りごたつ個室あり（2名～4名様用） ※個室の詳細はお店にお問い合わせください"
"韓流料理 梅田 丸鶏屋","530-0012","大阪府大阪市北区芝田町1-8-1 DDハウスB1","050-5787-1469","","","","40席","テーブル個室あり（1室/8名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"デコボコ 梅田 E－MA店","530-0001","大阪府大阪市北区梅田1-12-6 イーマ5F","050-5788-8061","","","","80席 掘りごたつ席あり",""
"IBERICO－YA 北新地店","530-0003","大阪府大阪市北区堂島1-3-3 北新地西辻1F","050-5786-8074","","","","31席",""
"和食 たちばな","530-0011","大阪府大阪市北区大深町4-20 グランフロント大阪南館7F","050-5786-1045","","http://www.tcbn.co.jp/","","102席","テーブル個室あり（4名～6名様用） テーブル個室あり（6名～12名様用） テーブル個室あり（12名～18名様用） テーブル個室あり（20名～28名様用） テーブル個室あり（28名～32名様用） ※個室の詳細はお店にお問い合わせください"
